panel,method,m,kappa,n,seed,iter_outer,nfev,ngev,nhev,ntot,converged,gnorm_final,cpu_s
A,LBFGS-20,20,100000.0,100,2,1000,3102,3205,0,6307,False,0.0187986855,0.218184
A,LBFGS-5,5,100000.0,100,3,1000,3109,3219,0,6328,False,0.0974061114,0.102751
A,LBFGS-10,10,100000.0,100,3,1000,3069,3139,0,6208,False,0.0607652055,0.15015
A,LBFGS-20,20,100000.0,100,3,1000,3082,3165,0,6247,False,0.0316136093,0.232224
A,LBFGS-5,5,100000.0,100,4,1000,3070,3141,0,6211,False,0.067651919,0.127802
A,LBFGS-10,10,100000.0,100,4,1000,3097,3195,0,6292,False,0.0339919943,0.165967
A,LBFGS-20,20,100000.0,100,4,1000,3162,3325,0,6487,False,0.0240655795,0.261455
A,LBFGS-5,5,100000.0,100,5,1000,3187,3375,0,6562,False,0.1218553535,0.107966
A,LBFGS-10,10,100000.0,100,5,1000,3075,3151,0,6226,False,0.0307567995,0.162829
A,LBFGS-20,20,100000.0,100,5,1000,3226,3453,0,6679,False,0.0133281163,0.247886
A,LBFGS-5,5,100000.0,100,6,1000,3149,3299,0,6448,False,0.0450839679,0.150037
A,LBFGS-10,10,100000.0,100,6,1000,3158,3317,0,6475,False,0.0160731078,0.343124
A,LBFGS-20,20,100000.0,100,6,1000,3167,3335,0,6502,False,0.008220931,1.66002
A,LBFGS-5,5,100000.0,100,7,1000,3101,3203,0,6304,False,0.0342689615,0.563479
A,LBFGS-10,10,100000.0,100,7,1000,3074,3149,0,6223,False,0.0477323688,0.50059
A,LBFGS-20,20,100000.0,100,7,1000,3080,3161,0,6241,False,0.0104003096,0.564903
A,LBFGS-5,5,100000.0,100,8,1000,3253,3507,0,6760,False,0.0717637961,0.173516
A,LBFGS-10,10,100000.0,100,8,1000,3104,3209,0,6313,False,0.0433001501,0.216258
A,LBFGS-20,20,100000.0,100,8,1000,3075,3151,0,6226,False,0.0169522611,0.385899
A,LBFGS-5,5,100000.0,100,9,1000,3147,3295,0,6442,False,0.1908959108,0.207163
A,LBFGS-10,10,100000.0,100,9,1000,3065,3131,0,6196,False,0.0257202566,0.370878
A,LBFGS-20,20,100000.0,100,9,1000,3162,3325,0,6487,False,0.0163355285,0.735175
A,LBFGS-5,5,100000.0,100,10,1000,3129,3259,0,6388,False,0.0496835692,0.311323
A,LBFGS-10,10,100000.0,100,10,1000,3197,3395,0,6592,False,0.0333015208,0.388039
A,LBFGS-20,20,100000.0,100,10,1000,3164,3329,0,6493,False,0.0252237115,0.989896
A,LBFGS-5,5,100000.0,100,11,1000,3100,3201,0,6301,False,0.0305438513,0.331802
A,LBFGS-10,10,100000.0,100,11,1000,3135,3271,0,6406,False,0.0243401261,0.330697
A,LBFGS-20,20,100000.0,100,11,1000,3129,3259,0,6388,False,0.0119781637,0.504192
A,LBFGS-5,5,100000.0,100,12,1000,3163,3327,0,6490,False,0.0820462734,0.264479
A,LBFGS-10,10,100000.0,100,12,1000,3088,3177,0,6265,False,0.0475477657,0.331219
A,LBFGS-20,20,100000.0,100,12,1000,3153,3307,0,6460,False,0.016972541,0.571076
A,LBFGS-5,5,100000.0,100,13,1000,3123,3247,0,6370,False,0.0471979075,0.244517
A,LBFGS-10,10,100000.0,100,13,1000,3072,3145,0,6217,False,0.0213973778,0.341472
A,LBFGS-20,20,100000.0,100,13,1000,3133,3267,0,6400,False,0.0170297928,0.500998
A,LBFGS-5,5,100000.0,100,14,1000,3096,3193,0,6289,False,0.0550027315,0.207539
A,LBFGS-10,10,100000.0,100,14,1000,3242,3485,0,6727,False,0.0378491532,0.364501
A,LBFGS-20,20,100000.0,100,14,1000,3138,3277,0,6415,False,0.0240987752,0.537398
A,LBFGS-5,5,100000.0,100,15,1000,3125,3251,0,6376,False,0.0494990196,0.197911
A,LBFGS-10,10,100000.0,100,15,1000,3220,3441,0,6661,False,0.0574749032,0.359392
A,LBFGS-20,20,100000.0,100,15,1000,3167,3335,0,6502,False,0.021163131,0.753242
A,LBFGS-5,5,100000.0,100,16,1000,3099,3199,0,6298,False,0.0644374484,0.295117
A,LBFGS-10,10,100000.0,100,16,1000,3126,3253,0,6379,False,0.1172656145,0.406832
A,LBFGS-20,20,100000.0,100,16,1000,3039,3079,0,6118,False,0.0217032063,0.867136
A,LBFGS-5,5,100000.0,100,17,1000,3218,3437,0,6655,False,0.0766813766,0.434365
A,LBFGS-10,10,100000.0,100,17,1000,3099,3199,0,6298,False,0.034752468,0.604001
A,LBFGS-20,20,100000.0,100,17,1000,3127,3255,0,6382,False,0.0129706654,0.470917
A,LBFGS-5,5,100000.0,100,18,1000,3137,3275,0,6412,False,0.102535673,0.218566
A,LBFGS-10,10,100000.0,100,18,1000,3070,3141,0,6211,False,0.0506189854,0.396567
A,LBFGS-20,20,100000.0,100,18,1000,3102,3205,0,6307,False,0.0163438982,0.538665
A,LBFGS-5,5,100000.0,100,19,1000,3151,3303,0,6454,False,0.055990077,0.203582
A,LBFGS-10,10,100000.0,100,19,1000,3035,3071,0,6106,False,0.0239740152,0.291907
A,LBFGS-20,20,100000.0,100,19,1000,3066,3133,0,6199,False,0.0176747899,0.558143
B,LBFGS-5,5,10000.0,10,0,1000,7213,6698,0,13911,False,1.57293e-05,0.419545
B,LBFGS-10,10,10000.0,10,0,208,796,836,0,1632,True,9.957e-07,0.152889
B,LBFGS-20,20,10000.0,10,0,66,200,204,0,404,True,6.743e-07,0.024492
B,LBFGS-5,5,10000.0,10,1,1000,7914,7256,0,15170,False,8.8177e-06,0.258598
B,LBFGS-10,10,10000.0,10,1,196,658,673,0,1331,True,9.072e-07,0.050817
B,LBFGS-20,20,10000.0,10,1,76,258,290,0,548,True,9.869e-07,0.029595
B,LBFGS-5,5,10000.0,10,2,1000,7245,6690,0,13935,False,8.9736e-06,0.262448
B,LBFGS-10,10,10000.0,10,2,200,699,710,0,1409,True,9.246e-07,0.051539
B,LBFGS-20,20,10000.0,10,2,57,172,175,0,347,True,8.77e-07,0.019943
B,LBFGS-5,5,10000.0,10,3,1000,7297,6770,0,14067,False,5.7862e-06,0.245142
B,LBFGS-10,10,10000.0,10,3,153,523,538,0,1061,True,9.191e-07,0.038371
B,LBFGS-20,20,10000.0,10,3,55,166,169,0,335,True,9.476e-07,0.018636
B,LBFGS-5,5,10000.0,10,4,1000,7810,7239,0,15049,False,1.59851e-05,0.266095
B,LBFGS-10,10,10000.0,10,4,1000,9207,8335,0,17542,False,1.2728e-06,0.403634
B,LBFGS-20,20,10000.0,10,4,65,196,199,0,395,True,5.142e-07,0.024633
B,LBFGS-5,5,10000.0,10,5,1000,8021,7383,0,15404,False,1.30442e-05,0.285208
B,LBFGS-10,10,10000.0,10,5,286,890,905,0,1795,True,9.678e-07,0.074156
B,LBFGS-20,20,10000.0,10,5,54,164,168,0,332,True,4.13e-07,0.020416
B,LBFGS-5,5,10000.0,10,6,1000,7780,7201,0,14981,False,5.9828e-06,0.366418
B,LBFGS-10,10,10000.0,10,6,147,495,505,0,1000,True,9.958e-07,0.047643
B,LBFGS-20,20,10000.0,10,6,55,168,173,0,341,True,6.59e-07,0.029305
B,LBFGS-5,5,10000.0,10,7,1000,7804,7188,0,14992,False,1.75699e-05,0.363852
B,LBFGS-10,10,10000.0,10,7,186,651,692,0,1343,True,9.645e-07,0.079262
B,LBFGS-20,20,10000.0,10,7,72,219,224,0,443,True,5.811e-07,0.042741
B,LBFGS-5,5,10000.0,10,8,1000,8002,7347,0,15349,False,1.82392e-05,0.460988
B,LBFGS-10,10,10000.0,10,8,434,1623,1946,0,3569,True,9.993e-07,0.154838
B,LBFGS-20,20,10000.0,10,8,56,170,174,0,344,True,2.031e-07,0.021717
B,LBFGS-5,5,10000.0,10,9,1000,7746,7111,0,14857,False,1.90014e-05,0.282384
B,LBFGS-10,10,10000.0,10,9,205,670,727,0,1397,True,9.969e-07,0.061375
B,LBFGS-20,20,10000.0,10,9,60,182,186,0,368,True,2.358e-07,0.020889
B,LBFGS-5,5,10000.0,10,10,1000,3566,3660,0,7226,False,4.6844e-06,0.216707
B,LBFGS-10,10,10000.0,10,10,155,504,545,0,1049,True,9.915e-07,0.047689
B,LBFGS-20,20,10000.0,10,10,63,219,251,0,470,True,8.145e-07,0.030784
B,LBFGS-5,5,10000.0,10,11,1000,7905,7239,0,15144,False,7.5084e-06,0.363257
B,LBFGS-10,10,10000.0,10,11,157,642,815,0,1457,True,9.878e-07,0.051748
B,LBFGS-20,20,10000.0,10,11,62,187,190,0,377,True,3.385e-07,0.022328
B,LBFGS-5,5,10000.0,10,12,1000,7661,7144,0,14805,False,1.0933e-05,0.281547
B,LBFGS-10,10,10000.0,10,12,164,537,548,0,1085,True,9.352e-07,0.046536
B,LBFGS-20,20,10000.0,10,12,67,202,205,0,407,True,2.837e-07,0.025309
B,LBFGS-5,5,10000.0,10,13,1000,7793,7287,0,15080,False,2.04688e-05,0.297188
B,LBFGS-10,10,10000.0,10,13,328,1188,1234,0,2422,True,9.927e-07,0.097865
B,LBFGS-20,20,10000.0,10,13,69,240,275,0,515,True,8e-07,0.03518
B,LBFGS-5,5,10000.0,10,14,1000,3671,3726,0,7397,False,2.6062e-06,0.269389
B,LBFGS-10,10,10000.0,10,14,163,505,523,0,1028,True,9.824e-07,0.100707
B,LBFGS-20,20,10000.0,10,14,60,182,186,0,368,True,3.37e-07,0.02827
B,LBFGS-5,5,10000.0,10,15,1000,3202,3226,0,6428,False,4.669e-06,0.651577
B,LBFGS-10,10,10000.0,10,15,237,882,893,0,1775,True,9.935e-07,0.07003
B,LBFGS-20,20,10000.0,10,15,59,179,183,0,362,True,4.773e-07,0.022535
B,LBFGS-5,5,10000.0,10,16,1000,3374,3435,0,6809,False,6.1682e-06,0.27503
B,LBFGS-10,10,10000.0,10,16,158,502,522,0,1024,True,9.847e-07,0.096895
B,LBFGS-20,20,10000.0,10,16,58,182,191,0,373,True,5.244e-07,0.118828
B,LBFGS-5,5,10000.0,10,17,1000,7647,7058,0,14705,False,1.35154e-05,0.540984
B,LBFGS-10,10,10000.0,10,17,197,625,661,0,1286,True,8.666e-07,0.102253
B,LBFGS-20,20,10000.0,10,17,52,159,164,0,323,True,7.722e-07,0.020559
B,LBFGS-5,5,10000.0,10,18,378,1255,1292,0,2547,True,9.781e-07,0.076673
B,LBFGS-10,10,10000.0,10,18,187,647,690,0,1337,True,8.205e-07,0.054568
B,LBFGS-20,20,10000.0,10,18,77,261,293,0,554,True,9.255e-07,0.050321
B,LBFGS-5,5,10000.0,10,19,1000,3512,3541,0,7053,False,2.4972e-06,0.485202
B,LBFGS-10,10,10000.0,10,19,93,290,300,0,590,True,8.827e-07,0.07974
B,LBFGS-20,20,10000.0,10,19,56,179,192,0,371,True,9.194e-07,0.097774
B,LBFGS-5,5,10000.0,50,0,1000,5692,5414,0,11106,False,1.51896e-05,0.741447
B,LBFGS-10,10,10000.0,50,0,1000,3164,3253,0,6417,False,7.3524e-06,0.330167
B,LBFGS-20,20,10000.0,50,0,1000,3428,3462,0,6890,False,6.2634e-06,0.372257
B,LBFGS-5,5,10000.0,50,1,1000,3413,3533,0,6946,False,1.59568e-05,0.206579
B,LBFGS-10,10,10000.0,50,1,1000,6460,6138,0,12598,False,1.36949e-05,0.644487
B,LBFGS-20,20,10000.0,50,1,1000,4183,4222,0,8405,False,3.0111e-06,0.559022
B,LBFGS-5,5,10000.0,50,2,1000,3321,3351,0,6672,False,8.896e-06,0.220605
B,LBFGS-10,10,10000.0,50,2,1000,6222,5833,0,12055,False,1.14658e-05,0.366585
B,LBFGS-20,20,10000.0,50,2,1000,3340,3400,0,6740,False,8.0557e-06,0.459531
B,LBFGS-5,5,10000.0,50,3,1000,3805,3984,0,7789,False,1.29789e-05,0.227732
B,LBFGS-10,10,10000.0,50,3,1000,6081,5752,0,11833,False,1.40641e-05,0.294835
B,LBFGS-20,20,10000.0,50,3,1000,6325,5923,0,12248,False,9.3063e-06,0.475551
B,LBFGS-5,5,10000.0,50,4,1000,3232,3316,0,6548,False,7.9964e-06,0.152943
B,LBFGS-10,10,10000.0,50,4,1000,6548,6277,0,12825,False,1.96084e-05,0.341868
B,LBFGS-20,20,10000.0,50,4,1000,6686,6229,0,12915,False,1.51281e-05,0.441625
B,LBFGS-5,5,10000.0,50,5,1000,5476,5303,0,10779,False,1.35865e-05,0.274298
B,LBFGS-10,10,10000.0,50,5,1000,6350,6008,0,12358,False,1.16697e-05,0.208011
B,LBFGS-20,20,10000.0,50,5,1000,6569,6172,0,12741,False,7.9063e-06,0.349822
B,LBFGS-5,5,10000.0,50,6,1000,5382,5203,0,10585,False,1.44315e-05,0.165043
B,LBFGS-10,10,10000.0,50,6,1000,3220,3309,0,6529,False,8.2245e-06,0.178557
B,LBFGS-20,20,10000.0,50,6,1000,6922,6427,0,13349,False,1.59718e-05,0.460907
B,LBFGS-5,5,10000.0,50,7,1000,5568,5348,0,10916,False,1.3087e-05,0.297113
B,LBFGS-10,10,10000.0,50,7,1000,6209,5924,0,12133,False,9.2448e-06,0.258682
B,LBFGS-20,20,10000.0,50,7,1000,6455,6076,0,12531,False,4.812e-06,0.446437
B,LBFGS-5,5,10000.0,50,8,1000,3345,3369,0,6714,False,8.8567e-06,0.182252
B,LBFGS-10,10,10000.0,50,8,1000,6226,5802,0,12028,False,1.72447e-05,0.231843
B,LBFGS-20,20,10000.0,50,8,1000,3708,3828,0,7536,False,4.4216e-06,0.283496
B,LBFGS-5,5,10000.0,50,9,1000,5592,5300,0,10892,False,1.93001e-05,0.139618
B,LBFGS-10,10,10000.0,50,9,1000,5627,5306,0,10933,False,1.0876e-05,0.191176
B,LBFGS-20,20,10000.0,50,9,1000,6598,6193,0,12791,False,9.1677e-06,0.309478
B,LBFGS-5,5,10000.0,50,10,1000,5469,5189,0,10658,False,1.89368e-05,0.139923
